Zone_geographique,2017,2018,2019,2020
National,753639,754399,759100,757022.35
Tanger-Tetouan-Hoceima,99311,95949,97098,96742.8
Oriental,140447,141918,148449,149415
Fes-Meknes,120607,123663,124066,125511.05
Rabat-Sale-Kenitra,149616,150377,145052,138007.5
Beni Mellal-Khenifra,59958,60444,60456,58461
Casablanca-Settat,56559,56715,56933,57536
Marrakech-Safi,68080,67084,65696,66675
Daraa-Tafilelt,27942,27289,28074,28889
Souss Massa,17370,15560,16305,16503
Guelmim-Oued Noun,7285,8465,9339,10297
Laayoune-Saguia Hamra,5407,5565,6434,7277
Dakhla-Oued Eddahab,1057,1370,1198,1708