periode,Total,Tournesol,Arachide
1990,1733.5,1585.9,147.6
1991,1074.8,870,204.8
1992,1808.8,1460.4,348.4
1993,789.4,445.6,343.8
1994,909,608.3,300.7
1995,254.5,112.1,142.4
1996,108.9,1110.1,186.1
1997,1151.7,705.7,446
1998,1067.2,616.4,450.8
1999,848.8,424.5,424.3
2000,574.2,186,388.2
2001,776.5,331,445.5
2002,-,333.8,403.4
2003,1117.1,906.1,211
2004,1007.4,492.2,515.2
2005,651.8,181.8,470
2006,674,276.4,382.4
2007,818.5,322.4,496.1
2008,746.8,321.9,410.1
2009,1034.4,502.5,516.9
2010,1089,593.4,495.6
2011,877.2,480.1,397.1
2012,540.6,177.1,363.5
2013,577.8,189.9,387.9
2014,657.5,273.7,383.8
2015,861.5,523.8,337.7
2016,666.4,301.6,364.8
2017,595.1,237.8,357.3
2018,697.4,375.9,321.5
2019,691.3,294.6,396.7
2020,591.2,224,367.2